pris,pris_kvm,prisant,verditakst,BOAProm,energi,boligtype,vest,dummyGrünneløkkaSagene,dummyFrogner,dummySt.Hanshaugen,dummyGamleOslo,solgt,byggeår,alder
8500000,61594,7500000,7500000,138,G,Enebolig,0,0,0,0,0,2014,1909,105
8500000,52795,7950000,8000000,161,G,Enebolig,0,0,0,0,0,2014,1925,89
8500000,37445,8500000,8500000,227,E,Enebolig,0,0,0,0,0,2014,1975,39
8410000,54610,8200000,8200000,154,D,Tomannsbolig,0,0,0,0,0,2014,2004,10
8400000,40580,8600000,9000000,207,G,Enebolig,0,0,0,0,0,2014,1917,97
8350000,50606,8000000,8350000,165,G,Enebolig,0,0,0,0,0,2014,1922,92
8300000,30970,7690000,7800000,268,G,Enebolig,0,0,0,0,0,2014,1957,57
8300000,41709,7900000,7900000,199,G,Enebolig,0,0,0,0,0,2014,1963,51
8275000,50152,8250000,8500000,165,B,Tomannsbolig,0,0,0,0,0,2014,2008,6
8250000,51887,7900000,8000000,159,F,Leilighet,0,0,0,0,0,2014,1986,28
8200000,38679,7950000,8350000,212,E,Enebolig,0,0,0,0,0,2014,1985,29
8200000,58156,7350000,8300000,141,D,Tomannsbolig,0,1,0,0,0,2014,1999,15
8200000,54667,8400000,8600000,150,B,Leilighet,0,0,0,0,0,2014,2006,8
8200000,80392,8400000,8700000,102,B,Leilighet,0,0,0,0,1,2014,2013,1
8200000,79612,8300000,8300000,103,B,Leilighet,0,0,0,1,0,2014,2014,0
8160000,41846,7500000,7500000,195,G,Tomannsbolig,0,0,0,0,0,2014,1936,78
8125000,68856,8490000,8700000,118,C,Leilighet,0,0,0,0,1,2014,2013,1
8100000,77143,7200000,7200000,105,G,Tomannsbolig,0,0,0,0,1,2014,1911,103
8100000,43784,7900000,8000000,185,C,Tomannsbolig,0,0,0,0,0,2014,2008,6
8090000,30414,7200000,7200000,266,F,Enebolig,0,0,0,0,0,2014,1975,39
8070000,55274,7800000,#NULL!,146,G,Enebolig,0,0,0,0,1,2014,1873,141
8070000,55274,7800000,#NULL!,146,G,Enebolig,0,0,0,0,1,2014,1873,141
8050000,59191,7490000,7800000,136,C,Rekkehus,0,0,0,0,0,2014,2002,12
8000000,60606,7500000,7500000,132,G,Enebolig,0,1,0,0,0,2014,1870,144
7970000,47440,7990000,8300000,168,C,Enebolig,0,0,0,0,0,2014,2013,1
7950000,38971,7400000,7400000,204,G,Rekkehus,0,0,0,0,0,2014,1969,45
7900000,77451,7900000,8000000,102,E,Enebolig,0,0,0,1,0,2014,1897,117
7850000,49684,7700000,7700000,158,C,Tomannsbolig,0,0,0,0,0,2014,2012,2
7800000,54545,7800000,#NULL!,143,G,Enebolig,0,0,0,0,0,2014,1962,52
7750000,45322,7400000,7400000,171,E,Enebolig,0,0,0,0,0,2014,1966,48
7700000,47826,7850000,7900000,161,F,Enebolig,0,0,0,0,0,2014,1957,57
7700000,31048,7500000,7500000,248,E,Enebolig,0,0,0,0,0,2014,1980,34
7600000,61290,7600000,8200000,124,G,Tomannsbolig,0,0,1,0,0,2014,1940,74
7600000,46626,6800000,6800000,163,F,Tomannsbolig,0,0,0,0,0,2014,1978,36
7600000,55474,7600000,7600000,137,C,Tomannsbolig,0,0,0,0,0,2014,2007,7
7550000,38520,7550000,7550000,196,G,Enebolig,0,0,0,0,0,2014,1920,94
7550000,40374,7450000,7900000,187,D,Enebolig,0,0,0,0,0,2014,2003,11
7510000,41955,6950000,7000000,179,C,Rekkehus,0,0,0,0,0,2014,2009,5
7500000,61983,7500000,7500000,121,G,Tomannsbolig,0,1,0,0,0,2014,1870,144
7500000,36232,6990000,7000000,207,G,Tomannsbolig,0,0,0,0,0,2014,1923,91
7500000,46584,7500000,7500000,161,F,Rekkehus,0,0,0,0,0,2014,1981,33
7450000,41854,6750000,6750000,178,E,Enebolig,0,0,0,0,0,2014,1997,17
7400000,44578,7700000,7700000,166,D,Enebolig,0,0,0,0,0,2014,1983,31
